team name,stadium,longitude,latitude
Boston Celtics,TD Garden,-71.062228,42.366303
Milwaukee Bucks,Bradley Center,-87.916944,43.043611
Atlanta Hawks,Philips Arena,-84.396389,33.757222
Charlotte Bobcats,Time Warner Cable Arena,-80.839167,35.225
Miami Heat,American Airlines Arena,-80.188056,25.781389
Orlando Magic,Amway Center,-81.383963,28.539338
Washington Wizards,Verizon Center,-77.020833,38.898056
Denver Nuggets,Pepsi Center,-105.0075,39.748611
Minnesota Timberwolves,Target Center,-93.276111,44.979444
Portland Trail Blazers,Rose Garden,-122.666667,45.531667
Oklahoma City Thunder,Oklahoma City Arena,-97.515,35.463333
New Jersey Nets,Prudential Center,-74.171111,40.733611
Utah Jazz,EnergySolutions Arena,-111.901111,40.768333
Golden State Warriors,Oracle Arena,-122.203056,37.750278
Los Angeles Clippers,Staples Center,-118.267222,34.043056
Los Angeles Lakers,Staples Center,-118.267222,34.043056
Phoenix Suns,US Airways Center,-112.071389,33.445833
Sacramento Kings,Power Balance Pavilion,-121.518056,38.649167
Dallas Mavericks,American Airlines Center,-96.810278,32.790556
Houston Rockets,Toyota Center,-95.362222,29.750833
Memphis Grizzlies,FedExForum,-90.050556,35.138333
New Orleans Hornets,New Orleans Arena,-90.081944,29.948889
New York Knicks,Madison Square Garden,-73.993611,40.750556
San Antonio Spurs,AT&T Center,-98.4375,29.426944
Philadelphia 76ers,Wells Fargo Center,-75.171944,39.901111
Toronto Raptors,Air Canada Centre,-79.379167,43.643333
Chicago Bulls,United Center,-87.674167,41.880556
Cleveland Cavaliers,Quicken Loans Arena,-81.688056,41.496389
Detroit Pistons,The Palace of Auburn Hills,-83.245556,42.696944
Indiana Pacers,Conseco Fieldhouse,-86.155556,39.763889
